task,commit,run,path
T1,1e353ca,1,public/bundle.js
T1,1e353ca,1,src/ui/app.ts
T1,1e353ca,1,src/ui/format.ts
T1,1e353ca,1,src/ui/layout.ts
T1,1e353ca,1,src/ui/render.ts
T1,1e353ca,1,test/docs-card.test.ts
T1,1e353ca,1,test/figures-rising.test.ts
T1,1e353ca,1,test/graph.test.ts
T1,1e353ca,1,test/render.test.ts
T1,1e353ca,2,public/bundle.js
T1,1e353ca,2,public/como-ler.html
T1,1e353ca,2,src/ui/app.ts
T1,1e353ca,2,src/ui/figures/rising.ts
T1,1e353ca,2,src/ui/format.ts
T1,1e353ca,2,src/ui/layout.ts
T1,1e353ca,2,src/ui/render.ts
T1,1e353ca,2,test/invariants.test.ts
T1,1e353ca,3,public/bundle.js
T1,1e353ca,3,src/ui/app.ts
T1,1e353ca,3,src/ui/format.ts
T1,1e353ca,3,src/ui/layout.ts
T1,1e353ca,3,src/ui/render.ts
T1,1e353ca,3,test/figures-compare.test.ts
T1,1e353ca,3,test/figures-rising.test.ts
T1,1e353ca,3,test/render.test.ts
T1,2c8f7a4,1,src/ui/format.ts
T1,2c8f7a4,1,src/ui/layout.ts
T1,2c8f7a4,1,src/ui/render.ts
T1,2c8f7a4,1,test/docs-card.test.ts
T1,2c8f7a4,1,test/figures-rising.test.ts
T1,2c8f7a4,1,test/graph.test.ts
T1,2c8f7a4,1,test/render.test.ts
T1,2c8f7a4,2,public/bundle.js
T1,2c8f7a4,2,src/ui/app.ts
T1,2c8f7a4,2,src/ui/figures/rising.ts
T1,2c8f7a4,2,src/ui/format.ts
T1,2c8f7a4,2,src/ui/layout.ts
T1,2c8f7a4,2,src/ui/render.ts
T1,2c8f7a4,3,public/bundle.js
T1,2c8f7a4,3,src/ui/app.ts
T1,2c8f7a4,3,src/ui/figures/compare.ts
T1,2c8f7a4,3,src/ui/figures/rising.ts
T1,2c8f7a4,3,src/ui/format.ts
T1,2c8f7a4,3,src/ui/layout.ts
T1,2c8f7a4,3,src/ui/render.ts
T1,dd64f03,1,public/bundle.js
T1,dd64f03,1,src/ui/app.ts
T1,dd64f03,1,src/ui/format.ts
T1,dd64f03,1,src/ui/layout.ts
T1,dd64f03,1,src/ui/render.ts
T1,dd64f03,2,public/bundle.js
T1,dd64f03,2,src/ui/app.ts
T1,dd64f03,2,src/ui/format.ts
T1,dd64f03,2,src/ui/layout.ts
T1,dd64f03,2,src/ui/render.ts
T1,dd64f03,2,test/figures-compare.test.ts
T1,dd64f03,2,test/figures-rising.test.ts
T1,dd64f03,2,test/render.test.ts
T1,dd64f03,3,public/bundle.js
T1,dd64f03,3,src/ui/app.ts
T1,dd64f03,3,src/ui/figures/rising.ts
T1,dd64f03,3,src/ui/format.ts
T1,dd64f03,3,src/ui/layout.ts
T1,dd64f03,3,src/ui/render.ts
T2,1e353ca,1,package.json
T2,1e353ca,1,public/atlas.css
T2,1e353ca,1,public/bundle.js
T2,1e353ca,1,public/design-5.html
T2,1e353ca,1,src/ui/app.ts
T2,1e353ca,1,src/ui/docs-card.ts
T2,1e353ca,1,src/ui/figures/atlas.ts
T2,1e353ca,1,src/ui/figures/compare.ts
T2,1e353ca,1,src/ui/figures/week.ts
T2,1e353ca,1,test/fake-mount-dom.ts
T2,1e353ca,1,test/figures-compare.test.ts
T2,1e353ca,1,test/figures-week.test.ts
T2,1e353ca,2,public/atlas.css
T2,1e353ca,2,public/bundle.js
T2,1e353ca,2,public/design-5.html
T2,1e353ca,2,seed.json
T2,1e353ca,2,src/ui/app.ts
T2,1e353ca,2,src/ui/docs-card.ts
T2,1e353ca,2,src/ui/figures/atlas.ts
T2,1e353ca,2,src/ui/figures/compare.ts
T2,1e353ca,2,src/ui/figures/week.ts
T2,1e353ca,2,test/fake-mount-dom.ts
T2,1e353ca,2,test/figures-atlas.test.ts
T2,1e353ca,2,test/figures-compare.test.ts
T2,1e353ca,2,test/figures-week.test.ts
T2,1e353ca,3,public/atlas.css
T2,1e353ca,3,public/bundle.js
T2,1e353ca,3,public/design-5.html
T2,1e353ca,3,seed.json
T2,1e353ca,3,src/ui/app.ts
T2,1e353ca,3,src/ui/docs-card.ts
T2,1e353ca,3,src/ui/figures/atlas.ts
T2,1e353ca,3,src/ui/figures/compare.ts
T2,1e353ca,3,src/ui/figures/rising.ts
T2,1e353ca,3,src/ui/figures/testimony.ts
T2,1e353ca,3,src/ui/figures/week.ts
T2,1e353ca,3,src/ui/render.ts
T2,1e353ca,3,test/app.test.ts
T2,1e353ca,3,test/fake-mount-dom.ts
T2,1e353ca,3,test/figures-compare.test.ts
T2,1e353ca,3,test/figures-week.test.ts
T2,1e353ca,3,test/render.test.ts
T2,2c8f7a4,1,public/atlas.css
T2,2c8f7a4,1,public/bundle.js
T2,2c8f7a4,1,public/design-5.html
T2,2c8f7a4,1,src/ui/app.ts
T2,2c8f7a4,1,src/ui/docs-card.ts
T2,2c8f7a4,1,src/ui/figures/atlas.ts
T2,2c8f7a4,1,src/ui/figures/compare.ts
T2,2c8f7a4,1,src/ui/figures/rising.ts
T2,2c8f7a4,1,src/ui/figures/testimony.ts
T2,2c8f7a4,1,src/ui/figures/week.ts
T2,2c8f7a4,1,test/fake-mount-dom.ts
T2,2c8f7a4,1,test/figures-compare.test.ts
T2,2c8f7a4,1,test/figures-week.test.ts
T2,2c8f7a4,2,public/atlas.css
T2,2c8f7a4,2,public/design-5.html
T2,2c8f7a4,2,src/ui/docs-card.ts
T2,2c8f7a4,2,src/ui/figures/atlas.ts
T2,2c8f7a4,2,src/ui/figures/compare.ts
