task,commit,run,model,input_tokens,output_tokens,cache_read_tokens,cost_usd,tool_calls,files_read,files_edited,lines_changed_src,lines_changed_test,wall_seconds,tests_green,notes
T1,1e353ca,1,claude-sonnet-5,50,10254,2102039,0.7631,24,9,3,11,9,196,y,25 turns
T1,1e353ca,2,claude-sonnet-5,50,12847,2035678,0.7321,24,8,1,18,0,278,y,"public: 1 file changed, 1 insertion(+), 1 deletion(-); 25 turns"
T1,1e353ca,3,claude-sonnet-5,46,7797,1647926,0.6222,22,8,2,11,10,262,y,"public: 1 file changed, 1 insertion(+), 1 deletion(-); 23 turns"
T1,2c8f7a4,1,claude-sonnet-5,28,6488,1049922,0.4461,13,7,1,11,0,119,y,"public: 1 file changed, 1 insertion(+), 1 deletion(-); 14 turns"
T1,2c8f7a4,2,claude-sonnet-5,28,6046,1041842,0.4217,13,6,2,8,0,207,y,"public: 1 file changed, 1 insertion(+), 1 deletion(-); 14 turns"
T1,2c8f7a4,3,claude-sonnet-5,32,8094,1071778,0.4866,15,7,1,17,0,250,y,"public: 1 file changed, 1 insertion(+), 1 deletion(-); 16 turns"
T1,dd64f03,1,claude-sonnet-5,34,7183,1249975,0.4763,16,5,1,19,0,196,y,"public: 1 file changed, 1 insertion(+), 1 deletion(-); 17 turns"
T1,dd64f03,2,claude-sonnet-5,32,5077,1206412,0.4498,15,8,1,13,0,204,y,"public: 1 file changed, 1 insertion(+), 1 deletion(-); 16 turns"
T1,dd64f03,3,claude-sonnet-5,32,6424,1046319,0.4573,15,6,1,11,0,213,y,"public: 1 file changed, 1 insertion(+), 1 deletion(-); 16 turns"
T2,1e353ca,1,claude-sonnet-5,88,12233,4205001,1.2505,43,12,4,13,51,313,y,"public: 2 files changed, 2 insertions(+), 1 deletion(-); 44 turns"
T2,1e353ca,2,claude-sonnet-5,66,12621,3160625,1.0594,32,13,4,13,50,305,y,"public: 2 files changed, 2 insertions(+), 1 deletion(-); 33 turns"
T2,1e353ca,3,claude-sonnet-5,92,16070,4164621,1.2651,45,17,5,13,54,339,y,"public: 3 files changed, 3 insertions(+), 2 deletions(-); 46 turns"
T2,2c8f7a4,1,claude-sonnet-5,74,13012,3322073,1.059,36,13,5,13,40,314,y,"public: 3 files changed, 3 insertions(+), 2 deletions(-); 37 turns"
T2,2c8f7a4,2,claude-sonnet-5,64,10687,2750034,0.8929,31,13,4,13,54,179,y,"public: 2 files changed, 2 insertions(+), 1 deletion(-); 32 turns"
T2,2c8f7a4,3,claude-sonnet-5,60,10045,2764868,0.9138,29,12,4,13,54,237,y,"public: 2 files changed, 2 insertions(+), 1 deletion(-); 30 turns"
T2,dd64f03,1,claude-sonnet-5,62,9178,2840957,0.9336,30,10,4,13,54,243,y,"public: 2 files changed, 2 insertions(+), 1 deletion(-); 31 turns"
T2,dd64f03,2,claude-sonnet-5,76,12248,3350088,1.0537,42,23,4,13,48,311,y,"public: 2 files changed, 2 insertions(+), 2 deletions(-); 43 turns"
T2,dd64f03,3,claude-sonnet-5,64,11566,2900422,0.9565,31,13,4,13,44,287,y,"public: 2 files changed, 2 insertions(+), 1 deletion(-); 32 turns"
T3,1e353ca,1,claude-sonnet-5,90,21919,4369921,1.4433,49,21,7,32,86,399,y,"public: 1 file changed, 1 insertion(+), 1 deletion(-); 50 turns"
T3,1e353ca,2,claude-sonnet-5,114,24025,5761843,1.7577,56,13,6,33,97,468,y,"public: 1 file changed, 1 insertion(+), 1 deletion(-); 57 turns"
T3,1e353ca,3,claude-sonnet-5,108,17839,4711237,1.3682,53,10,4,25,0,538,y,"public: 1 file changed, 1 insertion(+), 1 deletion(-); 54 turns"
T3,2c8f7a4,1,claude-sonnet-5,78,16865,3229784,1.1054,38,12,6,34,51,387,y,"public: 1 file changed, 1 insertion(+), 1 deletion(-); 39 turns"
T3,2c8f7a4,2,claude-sonnet-5,128,23695,5828726,1.7367,63,21,5,22,63,493,y,"public: 1 file changed, 1 insertion(+), 1 deletion(-); 64 turns"
T3,2c8f7a4,3,claude-sonnet-5,90,19838,4790502,1.4983,44,20,5,28,44,559,y,"public: 1 file changed, 1 insertion(+), 1 deletion(-); 45 turns"
T3,dd64f03,1,claude-sonnet-5,64,15442,2899800,1.0513,33,14,5,31,49,351,y,"public: 1 file changed, 1 insertion(+), 1 deletion(-); 34 turns"
T3,dd64f03,2,claude-sonnet-5,114,26201,4885490,1.5442,56,22,4,47,44,428,y,"public: 1 file changed, 1 insertion(+), 1 deletion(-); 57 turns"
T3,dd64f03,3,claude-sonnet-5,40,14059,2044627,0.8543,22,7,4,26,46,336,y,"public: 1 file changed, 1 insertion(+), 1 deletion(-); 23 turns"
